question,answer,instruction,answer_prefix
"Kyle compró el libro más vendido del año pasado por $19,50. Esto es con un 25 % de descuento del precio original. ¿Cuál era el precio original del libro?",26,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Marie pidió una comida con pollo que cuesta $12, 5 cajas de leche que cuestan $3 cada una, 4 manazas que cuestan $1,50 cada una y algunas cajas de pizza. Marie pagó un total de $50. ¿Cuántas cajas de pizza pidió Marie si cada caja cuesta $8,50?",2,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Mishka compró 3 pares de pantalones cortos, 3 pares de pantalones y 3 pares de zapatos. Un par de pantalones cortos cuesta $16,50. Un par de pantalones cuesta $22,50 y un par de zapatos cuesta $42. ¿Cuántos dólares gastó Mishka en todas las prendas de vestir?",243,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Cynthia come una porción de helado todas las noches. Compra cajas de helado con 15 porciones de helado cada una a un costo de $4,00 la caja. ¿Cuánto gastará en helado después de 60 días?",16,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
Henry hizo dos paradas durante su viaje en bicicleta de 60 millas. Primero paró después de 20 millas. Su segunda parada fue 15 millas antes de terminar el viaje. ¿Cuántas millas recorrió entre la primera y la segunda parada?,25,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Gloria está comprando zapatos cuando ve un par de botas que se ajustan a su presupuesto para zapatos. Sin embargo, debe elegir entre las botas y dos pares de zapatos de taco alto que sumados cuestan cinco dólares menos que las botas. Si un par de zapatos de taco alto cuesta $33 y el otro cuesta el doble, ¿cuánto cuestan las botas?",104,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
La proporción de las edades de Darrell y Allen es 7:11. Calcule la edad de Allen dentro de 10 años si la edad total de ambos ahora es 162.,109,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
Gunter está tratando de contar los caramelos de goma que hay en un frasco. Le pregunta a sus amigos cuántos creen que hay en el frasco. Uno dice 80. Otro dice 20 más que la mitad del primero. Un tercero dice un 25 % más que el primero. ¿Cuál es su cálculo promedio?,80,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
John cuida 10 perros. A cada perro le lleva media hora por día pasear y hacer sus necesidades. ¿Cuántas horas a la semana le dedica al cuidado de los perros?,35,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
Gretchen tiene 110 monedas. Hay 30 monedas más de oro que de plata. ¿Cuántas monedas de oro tiene Gretchen?,70,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Siobhan tiene 2 joyas menos que Aaron. Aaron tiene 5 joyas más que la mitad de joyas de Raymond. Si Raymond tiene 40 joyas, ¿cuántas joyas tiene Siobhan?",23,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Mike juega al pimpón durante 40 minutos. En los primeros 20 minutos, gana 4 puntos. En los segundos 20 minutos, gana un 25 % más de puntos. ¿Cuántos puntos ganó en total?",9,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
Terry come 2 yogures por día. Actualmente hay una oferta de 4 yogures por $5. ¿Cuánto gasta en yogur durante 30 días?,75,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
John planea vender todos sus juguetes y usar el dinero para comprar videojuegos. Tiene 13 sets de lego y obtuvo $15 por cada uno que vendió. Termina comprando 8 videojuegos por $20 cada uno y le sobran $5. ¿Cuántos sets de lego le quedan todavía?,2,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
John corre 60 millas a la semana. Corre 3 días a la semana. Corre 3 horas el primer día y la mitad de ese tiempo los otros dos días que corre. ¿A qué velocidad corre en millas por hora?,10,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Dana puede correr a una velocidad cuatro veces más rápido que lo que puede caminar, pero puede saltar a una velocidad que es la mitad de rápido de lo que puede correr. Si puede saltar a 3 millas por hora, ¿cuántas millas puede recorrer en seis horas si corre un tercio del tiempo y camina dos tercios del tiempo?",18,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"El iPhone de Brandon es cuatro veces más viejo que el iPhone de Ben. El iPhone de Ben es dos veces más viejo que el iPhone de Suzy. Si el iPhone de Suzy tiene 1 año de edad, ¿cuántos años tiene el iPhone de Brandon?",8,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"El gran dragón, Perg, se sentó en lo alto del monte Farbo, escupiendo fuego a todo lo que se encontraba a una distancia de 1000 pies. Polly podía lanzar la jabalina de oro, la única arma conocida que podía matar al dragón, a una distancia de 400 pies, bien al alcance de las llamas del dragón. Pero cuando Polly tenía la piedra preciosa de zafiro, podía lanzar la jabalina tres veces más lejos que cuando no la tenía. ¿A qué distancia fuera del alcance de las llamas del dragón podría pararse Polly para poder golpear al dragón con la jabalina de oro teniendo la piedra preciosa?",200,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"La abuela Jones horneó 5 pasteles de manzana para el almuerzo de los bomberos. Cortó cada pastel en 8 porciones y colocó los cinco pasteles en la mesa del bufé para que los invitados se sirvan solos. Al final de la noche, después de que los invitados se sirvieran y comieran las porciones de pastel, quedaban 14 porciones. ¿Cuántas porciones se sirvieron los invitados?",26,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Según la información nutricional, un paquete de papas fritas tiene 250 calorías por porción. Si una bolsa de 300 g tiene 5 porciones, ¿cuántos gramos puede comer si su objetivo diario de calorías es 2000 y ya ha consumido 1800 calorías?",48,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Charlie quiere vender velas de cera de abeja. Por cada libra de cera de abeja, puede elaborar 10 velas cónicas. Una libra de cera de abeja y los pabilos cuestan $10,00 en suministros. Si vende cada vela a $2,00, ¿cuál será su ganancia neta al elaborar y vender 20 velas?",20,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Meredith es una bloguera independiente que escribe sobre temas de salud y hace entregas a sus clientes a diario como trabajo permanente. Un artículo del blog lleva un promedio de 4 horas entre la investigación y la elaboración. La semana pasada, Meredith escribió 5 artículos el lunes y 2/5 veces más de artículos el martes que el lunes. El miércoles, escribió el doble de los artículos que redactó el martes. Calcule la cantidad total de horas que Meredith dedicó a los artículos durante los tres días.",104,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Candice puso 80 notas adhesivas en su bolso antes de irse a su trabajo en la cafetería. En el camino, se detuvo en la tienda y compró un paquete de notas adhesivas. En el trabajo, colocó una sola nota adhesiva en cada una de las 220 tazas de café diferentes. Si le quedan 23 notas adhesivas en total, ¿cuántas notas adhesivas había en el paquete que compró?",163,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
John compra el doble de corbatas rojas que de corbatas azules. Las corbatas rojas cuestan un 50 % más que las corbatas azules. Gastó $200 en corbatas azules que costaron $40 cada una. ¿Cuánto gastó en corbatas?,800,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
Tracy usó un trozo de alambre de 4 pies de largo para sujetar las plantas de tomate en la huerta. Cortó el alambre en trozos de 6 pulgadas de largo. ¿Cuántos trozos obtuvo?,8,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Richard vive en un edificio de apartamentos de 15 plantas. En cada planta, hay 8 unidades y las 3/4 partes del edificio están ocupadas. ¿Cuál es la cantidad total de unidades desocupadas en el edificio?",30,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
Lloyd tiene una granja avícola. Las gallinas ponen 252 huevos por día y él los vende a $2 la docena. ¿Cuánto gana Lloyd por semana con la venta de huevos?,294,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"La embarcación de Tom puede recorrer 10 millas por hora. Tom navega desde la 1 p. m. hasta las 4 p. m. A la vuelta, navega a una velocidad de 6 mph. ¿Cuánto tiempo le lleva regresar?",5,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"La bolsa de libros de Uriah se está poniendo demasiado pesada para él. Necesita sacar 15 libras de su interior. Sus revistas de historietas pesan 1/4 de libra cada una y sus juguetes pesan 1/2 libra cada uno. Si saca 30 revistas de historietas, ¿cuántos juguetes deberá quitar?",15,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Un mecánico cobra diferentes tarifas para reparar los neumáticos de camiones y automóviles. Por cada neumático de camión que repare, el mecánico cobrará $60 y por cada neumático de automóvil que repare, el mecánico cobrará $40. El jueves, el mecánico repara 6 neumáticos de camión y 4 neumáticos de automóvil. El viernes, el mecánico repara 12 neumáticos de automóvil y ninguno de camión. ¿Cuántos más ingresos obtuvo el mecánico el día con mayores ingresos?",40,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Las hermanas Doubtfire están conduciendo a su casa con 7 gatitos que adoptaron en el refugio de animales local cuando su madre las llama para avisarles que sus dos gatas domésticas acaban de tener gatitos. Les dice que Patchy, la primera gata, ha tenido tres veces la cantidad de gatitos adoptados, mientras que Trixie, la otra gata, ha tenido 12. ¿Cuántos gatitos tiene ahora la familia Doubtfire?",40,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Jean tiene 30 paletas. Jean come 2 de las paletas. Con las paletas que sobran, Jean quiere envasar 2 paletas en una bolsa. ¿Cuántas bolsas puede llenar Jean?",14,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Peter planea ir al cine esta semana. Siempre compra una entrada de $7 y palomitas de maíz por $7. Si tiene 42 dólares para la semana, ¿cuántas veces puede ir al cine?",3,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Un puente de madera no puede soportar más de 5000 libras. Un camión de reparto lleno de cajas idénticas, cada una de 15 libras de peso, cruzará el puente. El peso combinado del conductor y el camión vacío es 3755 libras. ¿Cuál es la cantidad máxima de cajas que se puede cargar en el camión sin exceder el límite de peso del puente?",83,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Stephen hizo un pedido en línea de comestibles. La factura final fue de $40,00. Dado que el pedido se hizo a través de un servicio de entregas, le añadieron una tarifa del 25 % sobre el total final y le cobraron $3,00 por gastos de envío. Stephen también agregó una propina de $4,00. Después de las tarifas extra, ¿cuál fue el precio final de la compra de comestibles de Stephen?",57,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
Un arbusto de frambuesas tiene 6 racimos con 20 frutas cada uno y 67 frutas individuales desparramadas por el arbusto. ¿Cuántas frambuesas hay en total?,187,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Una canasta contiene 25 naranjas, de las cuales 1 está en mal estado, el 20 % no ha madurado, 2 son agrias y el resto está en buen estado. ¿Cuántas naranjas en buen estado hay?",17,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Janet compra un broche para su hija. Paga $500 por el material para fabricarlo y luego otros $800 para el joyero que lo elaborará. Luego, paga el 10 % del total para asegurarlo. ¿Cuánto pagó?",1430,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Después de 40 años de servicio, un empleado de la empresa de Marcy recibe una pensión anual completa de $50000. Los beneficios de la pensión empiezan a acumularse después de 20 años de servicio. Por cada año completo trabajado después de los 20 años, el empleado gana el 5% del importe total de la pensión. Si Marcy se va después de trabajar exactamente 30 años, ¿cuál será su pensión anual en dólares?",25000,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
"Aleena se suscribió a un servicio de streaming que le cobra $140 por mes. Si la empresa de streaming le cobró el monto inicial por la primera mitad del año y luego le cobró un 10 % menos de dinero en la otra mitad del año, calcule el monto total que ella habrá pagado al final del año por el servicio de streaming.",1596,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
Sophia está pensando en hacer un viaje en automóvil por la carretera y quisiera saber qué distancia puede recorrer con un solo tanque de gasolina. Ha recorrido 100 millas desde que llenó el tanque por última vez y debió ponerle 4 galones de gasolina para volver a llenarlo. El manual del propietario de su automóvil dice que en el tanque entran 12 galones de gasolina. ¿Cuántas millas puede hacer Sophia con un solo tanque de gasolina?,300,"Resuelve este problema matemático. Proporciona los pasos de razonamiento antes de dar la respuesta final en la última línea por sí misma en el formato de ""Respuesta:"". No añadas nada más que la respuesta entera después de ""Respuesta:"".",Respuesta
